,source,url,title,summary,date,sentiment
0,CNN,https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-01-27-24/index.html,"Live updates: Israel-Hamas war, Gaza crisis, UNRWA allegations","In the last presidential election cycle, Biden received the backing of several prominent Muslim American elected officials and community leaders.
At least 146,620 of the 200,000 Muslim American voters in Michigan cast a ballot in the 2020 election cycle, according to an analysis by Emgage.
In 2020, Biden won Michigan by three percentage points over Trump.
Four years prior, Trump won the state over Democratic presidential candidate Hillary Clinton by 0.2 percentage points.
“I feel used as a Muslim voter,” said Ariana Afshar, 27, a content creator based in California.",2024-01-27,-0.4019
1,CNN,https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-01-26-24/index.html,"January 26, 2024 Israel-Hamas war","The Houthis say they are retaliating for recent strikes on their infrastructure in Yemen by the US and UK militaries.
Those attacks have been aimed at stopping the Houthis from disrupting global shipping in the region.
It all stems from Israel's ongoing war against Hamas in Gaza: The Houthis say their actions are aimed at pressuring Israel to stop its ground offensive and widespread bombardment of the Palestinian enclave.
It's just the latest example of flaring tensions in the Middle East, where world leaders are trying to contain the ripple effects of the war in Gaza.
Deteriorating conditions for Gaza medical workers: Vital medical services ""have collapsed"" at Nasser Hospital, the largest functioning hospital in the Gaza Strip, according to Doctors Without Borders.",2024-01-27,-0.9023
2,CNN,https://www.cnn.com/politics/live-news/trump-trial-e-jean-carroll-01-26-24/index.html,"Trump must pay $83.3 million to E. Jean Carroll, jury says","E. Jean Carroll leaves court on Friday.
Yuki Iwamura/APE. Jean Carroll praised her legal team and called the jury’s decision “a huge defeat"" for anyone who has tried to keep down women.
“There is a way to stand up to someone like Donald Trump, who cares more about wealth, fame and power than respecting the law,” Kaplan added.
“Standing up to a bully takes courage and bravery; it takes someone like E. Jean Carroll.
We thank the jury for standing up for E. Jean and the rule of law.”Some background: The verdict, awarding Carroll $83.3 million, was the second time over the past year that a jury has awarded Carroll millions of dollars in damages from Trump for his defamatory statements disparaging her and denying her rape allegations.",2024-01-27,0.5531
3,Financial Times,https://www.ft.com/content/90b34dda-0972-4ece-bcdc-9dcb410bcd67,AI-fuelled chip rally tested by semiconductor demand warnings,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
4,Financial Times,https://www.ft.com/content/17d8e116-7cbe-404d-9e53-ce6c3956ec7c,JPMorgan vs Goldman: How Jamie Dimon’s bank gains from the confidence factor,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
5,Financial Times,https://www.ft.com/content/548e4c73-6deb-4c3d-b20b-27e8807332fa,We are all hypocrites on corporate governance,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
6,Financial Times,https://www.ft.com/content/a6f6c456-c9d4-49a3-9a89-c966e0d89d15,UK proposes plan to end Israel-Hamas war,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
7,Financial Times,https://www.ft.com/content/c568c434-1e77-4cf7-aeed-748e96d3a191,ICJ’s Israel judgement seeks to restore rule of law to a brutal conflict,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
8,Financial Times,https://www.ft.com/content/8576a0f1-a57c-4935-899b-84026f9efc5e,More countries pull funding from UN agency over October 7 attack allegations,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
9,Financial Times,https://www.ft.com/content/d1c0bf52-c8ed-4673-9aa3-3df6c771e7a7,Michael Gove’s plan for thousands of Cambridge homes at risk from lack of water,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
10,Financial Times,https://www.ft.com/content/f4fe30ce-3cbf-47f0-a1ad-7574b59f6f04,US urges China to help deter Iran-backed Houthis in back-channel meeting,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
11,Financial Times,https://www.ft.com/content/55ef86b4-f55c-47a9-8121-c6c8cf6b5b18,Hinkley Point C delay deals blow to UK energy strategy,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
12,Financial Times,https://www.ft.com/content/a0756de7-c5e0-4dcf-8fb1-7df30e955032,Why we treasure-hunters seek the debris of past generations,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
13,Financial Times,https://www.ft.com/content/545add93-4808-4952-bfc4-cf9fa36b62ad,Surrealism at 100: does it still have the power to disrupt?,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
14,Financial Times,https://www.ft.com/content/6835147e-fb65-4ca6-9e5d-2dcb808a84d3,US agrees to sell Turkey jets after Ankara approves Sweden’s Nato bid,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
15,Financial Times,https://www.ft.com/content/6e78a371-1d95-48f6-a7a9-388d9f2af113,Germany’s new far-left party calls for an end to the Ukraine war,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
16,Financial Times,https://www.ft.com/content/c99f4760-ea9b-4a18-8c1f-a335d4457c84,Scandal in Georgia threatens to muddy criminal case against Donald Trump,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
17,Financial Times,https://www.ft.com/content/8bdaafc7-67c3-414e-a215-8d6639016410,Why Giorgia Meloni is picking a fight with Stellantis’ John Elkann,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
18,Financial Times,https://www.ft.com/content/908f7b2e-da1b-4bad-94ab-a7bdd774ef98,English women’s football clubs hope new league will kick start investment,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
19,Financial Times,https://www.ft.com/content/39af71b4-36dc-4bb9-a181-3710fdfb7ac2,Brussels considers support for solar panel makers as Chinese imports flood market,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
20,Financial Times,https://www.ft.com/content/74eca55a-2185-44c8-b367-effbcc00d265,Fuel tanker’s crew extinguish fire after hours of struggle,"Then $29 per 3 months.
The new FT Digital Edition: today’s FT, cover to cover on any device.
This subscription does not include access to ft.com or the FT App.",2024-01-27,0.0
21,Financial Times,https://www.ft.com/content/7ab95c93-3942-449a-8869-539b7a2f8538,French farmers vow to keep up protests despite Attal’s concessions,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
22,Financial Times,https://www.ft.com/content/599ab559-b09d-4435-8e9f-152a799c54b7,French mayors take on Airbnb amid a housing squeeze,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
